section,id,type,name,description
1,food_standards_australia_new_zealand_act_1991,legislation,Food Standards Australia New Zealand Act 1991,This Act may be cited as the Food Standards Australia New Zealand Act 1991.
2,commencement,legislation,Commencement,"This section of the Act specifies the commencement date of the Act, which is subject to proclamation or a set time period after Royal Assent."
3,food_standards_australia_new_zealand,organization,Food Standards Australia New Zealand,A joint body established to ensure a high standard of public health protection throughout Australia and New Zealand.
3,consumer_confidence,concept,Consumer Confidence,"A high degree of consumer confidence in the quality and safety of food produced, processed, sold or exported from Australia and New Zealand."
3,regulatory_framework,concept,Regulatory Framework,"An effective, transparent and accountable regulatory framework within which the food industry can work efficiently."
3,consumer_information,concept,Consumer Information,The provision of adequate information relating to food to enable consumers to make informed choices.
3,common_rules,concept,Common Rules,The establishment of common rules for both countries and the promotion of consistency between domestic and international food regulatory measures without reducing the safeguards applying to public health and consumer protection.
4,agvet_code,legislation,Agricultural and Veterinary Chemicals Code,The Code set out in the Schedule to the Agricultural and Veterinary Chemicals Code Act 1994 of the Commonwealth.
4,appropriate_government_agency,entity,Appropriate Government Agency,"An entity that is either a relevant Department of State administered by a Minister who is a member of the Forum on Food Regulation, a body with an officer on the Food Regulation Standing Committee, or any other body or officer that the Authority considers has a particular interest in the relevant matter."
4,apvma,organization,Australian Pesticides and Veterinary Medicines Authority,The authority continued in existence by section 6 of the Agricultural and Veterinary Chemicals (Administration) Act 1992.
4,australia_new_zealand_food_standards_code,regulation,Australia New Zealand Food Standards Code,The code published under the name Food Standards Code on 27 August 1987 with any amendments approved by a former Council before the Act commenced or made under this Act.
4,australia_new_zealand_joint_food_standards_agreement,agreement,Australia New Zealand Joint Food Standards Agreement,"The Agreement between the Government of Australia and the Government of New Zealand Establishing a System for the Development of Joint Food Standards, signed on 5 December 1995, as amended."
4,authority,organization,Food Standards Australia New Zealand,The organization referred to as Food Standards Australia New Zealand.
4,board,organization,Board of the Authority,The Board of Food Standards Australia New Zealand.
4,chief_officer,role,Chief Officer,"The person responsible for the Executive Officer or Chief Executive Officer role of a Commonwealth, State, Territory or New Zealand authority, or the person responsible for the day to day management of any other authority or body."
4,code_of_practice,regulation,Code of Practice,"A code of practice developed by the Authority under Part 3, which is not a standard."
4,commonwealth_authority,entity,Commonwealth Authority,"A body established by the Commonwealth, or by or under a law of the Commonwealth."
4,confidential_commercial_information,concept,Confidential Commercial Information,Information relating to food that is a trade secret or has commercial value that would be destroyed or diminished if disclosed.
4,finance_minister,person,"Minister administering the Public Governance, Performance and Accountability Act 2013","The Minister responsible for administering the Public Governance, Performance and Accountability Act 2013."
4,food,concept,Food,As defined by section 5 of the Act.
4,food_regulation_agreement,agreement,Food Regulation Agreement,"The agreement between the Commonwealth, the States, the Northern Territory, and the Australian Capital Territory, first made on 3 November 2000 or any substitution for that agreement."
4,food_regulation_standing_committee,organization,Food Regulation Standing Committee,The Committee established under the Food Regulation Agreement.
4,food_regulatory_measure,regulation,Food Regulatory Measure,A standard or a code of practice.
4,former_council,organization,Former Council,"The Council of Commonwealth, State and Territory Ministers known as the National Food Standards Council or its reconstituted forms."
4,forum_on_food_regulation,organization,Forum on Food Regulation,The Australia and New Zealand Ministerial Forum on Food Regulation established by the Food Regulation Agreement.
4,high_level_health_claims_committee,organization,High Level Health Claims Committee,A committee established to give advice on applications or proposals to make a high level health claims variation.
4,high_level_health_claims_variation,regulation,High Level Health Claims Variation,"A variation that changes the list of high level health claims that may be made under the Nutrition, Health and Related Claims Standard."
