section,type,source_id,target_id,description
1,establishment,food_standards_australia_new_zealand,consumer_confidence,Food Standards Australia New Zealand is established to ensure consumer confidence in food quality and safety.
1,establishment,food_standards_australia_new_zealand,regulatory_framework,Food Standards Australia New Zealand operates within a regulatory framework to ensure efficiency in the food industry.
1,provision,food_standards_australia_new_zealand,consumer_information,Food Standards Australia New Zealand provides adequate information to consumers for informed choices.
1,establishment,food_standards_australia_new_zealand,common_rules,Food Standards Australia New Zealand establishes common rules and promotes consistency in food regulatory measures.
2,administered_by,appropriate_government_agency,forum_on_food_regulation,Appropriate government agencies are administered by a Minister who is a member of the Forum on Food Regulation.
2,established_by,apvma,agricultural_and_veterinary_chemicals_administration_act_1992,The Australian Pesticides and Veterinary Medicines Authority is continued in existence by the Agricultural and Veterinary Chemicals (Administration) Act 1992.
2,published_under,australia_new_zealand_food_standards_code,food_standards_code,The Australia New Zealand Food Standards Code was published under the name Food Standards Code.
2,signed_by,australia_new_zealand_joint_food_standards_agreement,government_of_australia,The Australia New Zealand Joint Food Standards Agreement was signed by the Government of Australia and the Government of New Zealand.
2,constitutes,authority,food_standards_australia_new_zealand,The Authority constitutes Food Standards Australia New Zealand.
2,part_of,board,food_standards_australia_new_zealand,The Board is part of Food Standards Australia New Zealand.
2,developed_by,code_of_practice,authority,The code of practice is developed by the Authority.
2,established_by,commonwealth_authority,commonwealth,A Commonwealth authority is established by the Commonwealth.
2,administered_by,finance_minister,public_governance_performance_and_accountability_act_2013,"The Finance Minister is responsible for administering the Public Governance, Performance and Accountability Act 2013."
2,established_under,food_regulation_standing_committee,food_regulation_agreement,The Food Regulation Standing Committee is established under the Food Regulation Agreement.
2,constitutes,food_regulatory_measure,standard,A food regulatory measure constitutes a standard or a code of practice.
2,established_by,forum_on_food_regulation,food_regulation_agreement,The Forum on Food Regulation is established by the Food Regulation Agreement.
2,established_by,high_level_health_claims_committee,authority,The High Level Health Claims Committee is established by the Authority.
2,variation_of,high_level_health_claims_variation,nutrition_health_and_related_claims_standard,"A high level health claims variation is a variation of the Nutrition, Health and Related Claims Standard."
2,substitution_for,maximum_residue_limits_standard,standard,The Maximum Residue Limits Standard may be in force in substitution for another standard.
2,member_of,member,board,A member is a member of the Board of the Authority.
2,established_by,new_zealand_authority,new_zealand,A New Zealand authority is established by New Zealand.
2,nominated_by,new_zealand_lead_minister_on_the_forum_on_food_regulation,government_of_new_zealand,The New Zealand lead Minister on the Forum on Food Regulation is nominated by the government of New Zealand.
2,substitution_for,nutrition_health_and_related_claims_standard,standard,"The Nutrition, Health and Related Claims Standard may be in force in substitution for another standard."
2,formulated_by,policy_guideline,forum_on_food_regulation,A policy guideline is formulated by the Forum on Food Regulation.
2,included_in,standard,australia_new_zealand_food_standards_code,A standard is included in the Australia New Zealand Food Standards Code.
2,established_by,state_or_territory_authority,state,A State or Territory authority is established by a State or Territory.
2,refers_to,territory,australian_capital_territory,Territory refers to the Australian Capital Territory and the Northern Territory.
2,held_by,trust_money,authority,Trust money is received or held by the Authority on trust.
3,exclusion,food,therapeutic_good,Food does not include therapeutic goods as defined by the Therapeutic Goods Act 1989.
4,consult,minister,authority,The Minister consults the Authority before making a declaration.
4,declare,minister,declaration_of_what_is_food,The Minister declares a substance or thing as food by a legislative instrument.
4,publish,minister,new_zealand_gazette,The Minister must cause a copy of the declaration to be published in the New Zealand Gazette.
4,exception,declaration_of_what_is_food,legislation_act_2003,Sections 42 (disallowance) and Part 4 of Chapter 3 (sunsetting) of the Legislation Act 2003 do not apply to the declaration.
4,effective_date,declaration_of_what_is_food,declaration_of_what_is_food,"The declaration takes effect on the day specified within it, which must not be before its publication."
5,publish_notice,authority,public_notice_requirements,The Authority publishes notice on its website to satisfy public notice requirements.
5,give_written_notice,authority,government_agency,The Authority gives written notice to each appropriate government agency to satisfy public notice requirements.
5,give_written_notice,authority,applicant,The Authority gives written notice to the applicant when the notice requirement arises from considering an application to develop or vary a food regulatory measure.
5,give_written_notice,authority,submission_contributor,The Authority gives written notice to each person who made a submission during the call for submissions on an application or proposal for the development or variation of a food regulatory measure.
5,give_written_notice,authority,other_person_or_body,The Authority gives written notice to any other person or body it considers appropriate.
6,applies_for,applicant,section_22,The applicant applies for the development or variation of a food regulatory measure under section 22.
6,may_derive_financial_gain_from,applicant,draft_standard_or_variation,The applicant may derive a financial gain from the coming into effect of the draft standard or variation.
6,requires_agreement_of,unrelated_persons_or_bodies,applicant,Unrelated persons or bodies would require the agreement of the applicant to benefit financially from the approval of the application.
6,confers_benefit_on,exclusive_capturable_commercial_benefit,applicant,An exclusive capturable commercial benefit is conferred on the applicant when certain conditions are met.
